"V1";"V2";"V3";"V4";"V5";"V6"
0319001000000005001;2012-01-03;02:15:00  ;202;   1.20;   0.00;   1.08
0319001000000005001;2012-01-03;02:30:00  ;203;   1.08;   0.00;   0.84
0319001000000005001;2012-01-03;02:45:00  ;204;   1.20;   0.00;   0.96
0319001000000005001;2012-01-03;03:00:00  ;205;   1.44;   0.00;   0.96
0319001000000005001;2012-01-03;03:15:00  ;206;   1.08;   0.00;   0.96
0319001000000005001;2012-01-03;03:30:00  ;207;  26.20;   0.00;  26.68
0319001000000005001;2012-01-03;03:45:00  ;208;   1.08;   0.00;   0.96
0319001000000005001;2012-01-03;04:00:00  ;209;   1.20;   0.00;   1.08
0319001000000005001;2012-01-03;04:15:00  ;210;   1.08;   0.00;   1.08
0319001000000005001;2012-01-03;04:30:00  ;211;   1.20;   0.00;   1.20
0319001000000005001;2012-01-03;04:45:00  ;212;   1.20;   0.00;   0.96
0319001000000005001;2012-01-03;05:00:00  ;213;   1.08;   0.00;   0.84
0319001000000005001;2012-01-03;05:15:00  ;214;   1.56;   0.00;   1.08
0319001000000005001;2012-01-03;05:30:00  ;215;  34.86;   0.00;  35.13
0319001000000005001;2012-01-03;05:45:00  ;216;   1.32;   0.00;   0.84
0319001000000005001;2012-01-03;06:00:00  ;217;  34.65;   0.00;  34.95
0319001000000005001;2012-01-03;06:15:00  ;218;   2.40;   0.00;   1.80
0319001000000005001;2012-01-03;06:30:00  ;219;   2.04;   0.00;   1.80
0319001000000005001;2012-01-03;06:45:00  ;220;   3.24;   0.00;   2.52
0319001000000005001;2012-01-03;07:00:00  ;221;   5.16;   0.00;   3.96
0319001000000005001;2012-01-03;07:15:00  ;222;  27.75;   0.00;  28.32
0319001000000005001;2012-01-03;07:30:00  ;223;  20.40;   0.00;  17.64
0319001000000005001;2012-01-03;07:45:00  ;224;  16.32;   0.00;  13.92
0319001000000005001;2012-01-03;08:00:00  ;225;  17.28;   0.00;  15.48
0319001000000005001;2012-01-03;08:15:00  ;226;  20.04;   0.00;  17.88
0319001000000005001;2012-01-03;08:30:00  ;227;  20.40;   0.00;  18.24
0319001000000005001;2012-01-03;08:45:00  ;228;  28.44;   0.00;  25.80
0319001000000005001;2012-01-03;09:00:00  ;229;  27.60;   0.00;  27.00
0319001000000005001;2012-01-03;09:15:00  ;230;  30.00;   0.00;  28.92
0319001000000005001;2012-01-03;09:30:00  ;231;  31.56;   0.00;  31.80
0319001000000005001;2012-01-03;09:45:00  ;232;  30.12;   0.00;  29.76
0319001000000005001;2012-01-03;10:00:00  ;233;  26.28;   0.00;  27.00
0319001000000005001;2012-01-03;10:15:00  ;234;  33.72;   0.00;  33.60
0319001000000005001;2012-01-03;10:30:00  ;235;  35.52;   0.00;  35.16
0319001000000005001;2012-01-03;10:45:00  ;236;  36.36;   0.00;  36.48
0319001000000005001;2012-01-03;11:00:00  ;237;  33.36;   0.00;  32.04
0319001000000005001;2012-01-03;11:15:00  ;238;  34.32;   0.00;  33.36
0319001000000005001;2012-01-03;11:30:00  ;239;  30.84;   0.00;  31.20
0319001000000005001;2012-01-03;11:45:00  ;240;  26.16;   0.00;  26.16
0319001000000005001;2012-01-03;12:00:00  ;241;  28.32;   0.00;  28.20
0319001000000005001;2012-01-03;12:15:00  ;242;  30.84;   0.00;  30.48
0319001000000005001;2012-01-03;12:30:00  ;243;  31.44;   0.00;  30.72
0319001000000005001;2012-01-03;12:45:00  ;244;  28.80;   0.00;  27.48
0319001000000005001;2012-01-03;13:00:00  ;245;  28.32;   0.00;  28.08
0319001000000005001;2012-01-03;13:15:00  ;246;  30.24;   0.00;  29.64
0319001000000005001;2012-01-03;13:30:00  ;247;  27.60;   0.00;  27.96
0319001000000005001;2012-01-03;13:45:00  ;248;  34.32;   0.00;  34.32
0319001000000005001;2012-01-03;14:00:00  ;249;  31.32;   0.00;  32.40
0319001000000005001;2012-01-03;14:15:00  ;250;  26.04;   0.00;  26.52
0319001000000005001;2012-01-03;14:30:00  ;251;  29.64;   0.00;  30.00
0319001000000005001;2012-01-03;14:45:00  ;252;  34.68;   0.00;  34.56
0319001000000005001;2012-01-03;15:00:00  ;253;  29.76;   0.00;  28.68
0319001000000005001;2012-01-03;15:15:00  ;254;  29.64;   0.00;  28.92
0319001000000005001;2012-01-03;15:30:00  ;255;  33.84;   0.00;  33.48
0319001000000005001;2012-01-03;15:45:00  ;256;  32.28;   0.00;  32.76
0319001000000005001;2012-01-03;16:00:00  ;257;  30.72;   0.00;  29.52
0319001000000005001;2012-01-03;16:15:00  ;258;  35.40;   0.00;  35.28
0319001000000005001;2012-01-03;16:30:00  ;259;  33.60;   0.00;  32.76
0319001000000005001;2012-01-03;16:45:00  ;260;  33.48;   0.00;  33.24
0319001000000005001;2012-01-03;17:00:00  ;261;  32.40;   0.00;  32.88
0319001000000005001;2012-01-03;17:15:00  ;262;  33.60;   0.00;  32.64
0319001000000005001;2012-01-03;17:30:00  ;263;  36.72;   0.00;  36.00
0319001000000005001;2012-01-03;17:45:00  ;264;  39.68;   0.00;  38.52
0319001000000005001;2012-01-03;18:00:00  ;265;  37.68;   0.00;  37.44
0319001000000005001;2012-01-03;18:15:00  ;266;  42.24;   0.00;  42.72
0319001000000005001;2012-01-03;18:30:00  ;267;  31.32;   0.00;  31.32
0319001000000005001;2012-01-03;18:45:00  ;268;  31.08;   0.00;  31.80
0319001000000005001;2012-01-03;19:00:00  ;269;  32.52;   0.00;  32.52
0319001000000005001;2012-01-03;19:15:00  ;270;  33.84;   0.00;  33.08
0319001000000005001;2012-01-03;19:30:00  ;271;  25.56;   0.00;  26.28
0319001000000005001;2012-01-03;19:45:00  ;272;  34.56;   0.00;  34.12
0319001000000005001;2012-01-03;20:00:00  ;273;  39.68;   0.00;  39.48
0319001000000005001;2012-01-03;20:15:00  ;274;  32.40;   0.00;  32.88
0319001000000005001;2012-01-03;20:30:00  ;275;  33.36;   0.00;  33.84
0319001000000005001;2012-01-03;20:45:00  ;276;  35.76;   0.00;  35.64
0319001000000005001;2012-01-03;21:00:00  ;277;  39.48;   0.00;  39.24
0319001000000005001;2012-01-03;21:15:00  ;278;  36.24;   0.00;  37.20
0319001000000005001;2012-01-03;21:30:00  ;279;  41.40;   0.00;  41.04
0319001000000005001;2012-01-03;21:45:00  ;280;  43.68;   0.00;  43.32
0319001000000005001;2012-01-03;22:00:00  ;281;  40.08;   0.00;  39.84
0319001000000005001;2012-01-03;22:15:00  ;282;  38.04;   0.00;  38.04
0319001000000005001;2012-01-03;22:30:00  ;283;  33.24;   0.00;  32.88
0319001000000005001;2012-01-03;22:45:00  ;284;  30.60;   0.00;  30.36
0319001000000005001;2012-01-03;23:00:00  ;285;  36.00;   0.00;  36.00
0319001000000005001;2012-01-03;23:15:00  ;286;  37.08;   0.00;  38.16
0319001000000005001;2012-01-03;23:30:00  ;287;  31.08;   0.00;  32.28
0319001000000005001;2012-01-03;23:45:00  ;288;  33.24;   0.00;  33.24
0319001000000005001;2012-01-04;00:00:00  ;289;  34.08;   0.00;  34.08
0319001000000005001;2012-01-04;00:15:00  ;290;  34.68;   0.00;  34.92
0319001000000005001;2012-01-04;00:30:00  ;291;  31.92;   0.00;  32.52
0319001000000005001;2012-01-04;00:45:00  ;292;  33.00;   0.00;  33.12
0319001000000005001;2012-01-04;01:00:00  ;293;  41.28;   0.00;  41.16
0319001000000005001;2012-01-04;01:15:00  ;294;  35.52;   0.00;  35.52
0319001000000005001;2012-01-04;01:30:00  ;295;  41.16;   0.00;  41.64
0319001000000005001;2012-01-04;01:45:00  ;296;  35.40;   0.00;  35.64
0319001000000005001;2012-01-04;02:00:00  ;297;  34.68;   0.00;  35.52
0319001000000005001;2012-01-04;02:15:00  ;298;  39.84;   0.00;  39.18
0319001000000005001;2012-01-04;02:30:00  ;299;  38.64;   0.00;  38.88
0319001000000005001;2012-01-04;02:45:00  ;300;  37.92;   0.00;  39.24
0319001000000005001;2012-01-04;03:00:00  ;301;  39.60;   0.00;  39.72
0319001000000005001;2012-01-04;03:15:00  ;302;  37.08;   0.00;  36.96
0319001000000005001;2012-01-04;03:30:00  ;303;  35.64;   0.00;  35.52
0319001000000005001;2012-01-04;03:45:00  ;304;  37.56;   0.00;  37.20
0319001000000005001;2012-01-04;04:00:00  ;305;  40.80;   0.00;  40.44
0319001000000005001;2012-01-04;04:15:00  ;306;  31.56;   0.00;  31.80
0319001000000005001;2012-01-04;04:30:00  ;307;  34.68;   0.00;  35.28
0319001000000005001;2012-01-04;04:45:00  ;308;  36.48;   0.00;  36.96
0319001000000005001;2012-01-04;05:00:00  ;309;  40.44;   0.00;  40.44
0319001000000005001;2012-01-04;05:15:00  ;310;  31.80;   0.00;  31.92
0319001000000005001;2012-01-04;05:30:00  ;311;  39.12;   0.00;  39.24
0319001000000005001;2012-01-04;05:45:00  ;312;  39.00;   0.00;  39.00
0319001000000005001;2012-01-04;06:00:00  ;313;  33.12;   0.00;  33.84
